"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Phyllobacterium";"Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus";"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Alteromonadaceae_Alishewanella";"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Halomonadaceae_Halomonas";"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus";"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas";"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Acidovorax";"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia";"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia";"Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Veillonella";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Brevibacteriaceae_Brevibacterium";"Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Aeromonadaceae_Aeromonas";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Rhizobium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Micrococcus";"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Chryseobacterium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardioidaceae_Nocardioides";"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus";"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Stenotrophomonas";"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae_Cupriavidus";"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Aliivibrio";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces";"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_XlVa";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Rothia";"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides";"Bacteria_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Actinobacillus";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter";"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus";"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter";"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium";"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto";"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Phenylobacterium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Corynebacteriaceae_Corynebacterium";"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardiaceae_Gordonia";"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter";"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas";"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Paracoccus";"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium";"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas";"Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus";"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Vibrio"
"GAIN_PreChallenge_CTRL1";0;0;0;0;50,774385915093;0;0,20063764150091;0;0,0570650420146374;0;0;0;0,072920028052784;0;0;0;0;19,9472848605321;0;0;0;1,75670233500703;0;0;0,182140874885444;0;0;0;0;0;0;0;0;2441,78406240454;483,031894982768;0,711013299256945;0;0;0,801672840860687;0;0;3249,74959448238;0;0;480620,495630736
"GAIN_PreChallenge_CTRL2";0;0;0;0;0;0;103,498547659124;0;0;0;0;0;185,175070382673;0;54,4103645003203;0,175740693846543;0;22,4030208690212;0;0;0;0,935665023162975;0;0;0;0,363040531482281;0;0,508066077785888;470,664203893763;0;0;0;0;98020,8144653151;0;0;0;0;0;1,45893226877988;0;17085,2056887075;7,08085442330895;0;2760,1546631314
"GAIN_PreChallenge_CTRL3";0;0,515365641323273;0;0,900870574579222;4,58131166569936;0;0,338305281485781;0;0,577321532211259;796,836099825885;0;1,46300058038305;0;0,135359837492745;1,86719384793964;541,968485200232;0;0;0,654410911201393;836,542817759721;0;0;0,781971851421938;0;1,53558473592571;0;0;25,7344167150319;5113,76305861869;0,597975914103308;3,01389291932676;1,81789030760302;0;5,09304265815438;144,897562391178;719,325304701103;1,21889872315728;0;2,70348229831689;2,84220835751596;0;99,589132327336;7214,53154381892;247,723447475334;15,3195879280325
"GAIN_PreChallenge_CTRL4";0,0502740314062952;0,161174391790039;0;0;0,0985015623284184;0;0,349142965528946;0;0,662017949306686;0,137335156881732;292,9882700582;1,00657875033692;0,507572051791437;1,49009194277785;0;0;0;0,275488913957133;0,300166714917491;1,52993381317946;0;0;1767,55859480289;0;11,8330055604916;0;1,04143913907219;2,72398199079574;0,736989747531721;3,29137175430015;4,14725818849767;300,180291701191;1,82418065108664;8,40991903844426;14518,1842050094;1,64970899761408;0;0;42,7813638677861;43,0211338610975;2,05858981142247;95,3317027882321;13274,6760639307;5590,4171866109;14772,1410288407
"GAIN_PreChallenge_CTRL5";0;0,575471344151581;0,43026920551543;0;4,62761467029359;0;0,328055529500047;0;1,1196604446112;0;0;698,934152518525;0;0,35002344995779;0,371409811462339;0;0;0;0,282037332332802;0,575011724978895;0;0;0,674026826751712;0;0;0;1,95707719726105;3,19932464121565;4,84734077478661;0,773145108338805;8,57290122877779;2,35041740924866;6,85601725916893;5,26798611762499;12,0866710439921;6,20028139949348;0;0;6,99086389644499;20,2113779195197;0;17184,1902166776;89,1771878810618;30770,5235906575;20832,2858174655
"GAIN_PreChallenge_CTRL6";0;0,208139060183494;0;322,737371349992;5,93618529898369;0;0;665,611675726779;1,13989815431555;0;0;1,80539739154724;0,364152037988011;3,00670376657141;1,27616510173825;0;0;0;0,969081025332503;0,658580606347092;1,98399260866763;0;32,4234116155648;0;0;0;0,560376872005329;3497,2040996111;1,58623579209729;0,885509550718721;2,67786467845556;2,69201349347887;0,981553898712963;6,03360477858233;5712,08257235556;12,427440321437;0;3,81530263638512;10,0085945725274;30480,6336348596;8,86147697728884;163,506059173632;17,0229475086483;25903,2190971402;56,7148320835392
"GAIN_PreChallenge_CTRL7";0,0490422351417414;0,251560567549933;0,0638152833367417;0,279061614420521;0;0;0;0;2,97066814689299;1,07176176146932;0;3,60035837058245;0;0;2,12079425828002;0,459571318667407;0,230701062451917;0;0,878436413567443;0,596979169709895;0;0;2,44921947276676;0,378655526015951;0;0;1,01592217125829;3,98585994332291;5,03252602568972;4,81609161821847;4641,16228928686;10,5742499050513;2,66922784773146;25,9788970366259;70,5848841625522;12325,5400099331;0;0;19,9593327295568;1,90759297671565;0;435,918373309182;70,9811173761041;230570,309386777;61,6918986824038
"GAIN_PreChallenge_CTRL8";0;0;0;0,109043585469988;0;0;0;0,290942715587114;0,302815132765588;0,314093929085139;0;0,383684559008197;0;0,21299573049613;1,5820680837462;0,269366880522386;0;0;0,343249845886892;0,349905248978287;0;0;0,410157766159045;0;3,38285120664855;3201,81940226946;0;1,55747848124386;145,799276239184;3,76378456129135;5725,16646498778;7,62811936345579;0;9,61700038813671;12030,8798146076;60,3677709536747;0;0;2,12703486380968;0;0;303,197207698806;32,5595789858216;60300,6493298934;76615,4246558141
"GAIN_PreChallenge_CTRL9";0,0262565172054223;0,60606882168926;0,409989572471324;0,199207507820647;0;0,59400417101147;0,121564129301356;0;0,968102189781022;1,14761209593326;0;1,40187695516163;0;0,194556830031283;1,03222106360792;0,246047966631908;0;1,15103232533889;2,19474452554745;0,639228362877998;0;374,657017726799;0;0;0;0;0,543910323253389;1,42264859228363;0,769812304483837;0,85948905109489;8,66392075078207;1,74193952033368;1,90542231491137;21,961157455683;29901,2430656934;3055,19884254432;0;0;7,77159541188738;0;0;127,583534932221;29,7409176225235;100551,479457769;126,611042752868
"GAIN_PreChallenge_NOPAP1";0,0605036363053856;0,155175728062025;0;0,0765065837952135;0,158059142024157;0;0,280123666421043;0;0,95606798449364;285,713492775446;0;4,03798096946785;0,678723608752763;0;229,136177233845;0,188991766251241;0;0;2697,76804536571;0,245498670425784;0;2,5155383974626;37,6982267004133;0;0,33906545349694;0;0,835565309326242;0;15,965102681575;2,64072662031846;7,32032326274309;0,669000096113799;0;15,7440008970621;2369,89067055394;3822,53118892769;0;2,84445583570948;7,46179476500176;114,532446416557;3,30328709191683;9295,48000032038;35,5355460865665;26824,8777752859;18350,8667862749
