"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Phyllobacterium";"Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus";"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Alteromonadaceae_Alishewanella";"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Halomonadaceae_Halomonas";"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus";"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas";"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Acidovorax";"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia";"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia";"Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Veillonella";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Brevibacteriaceae_Brevibacterium";"Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Aeromonadaceae_Aeromonas";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Rhizobium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Micrococcus";"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Chryseobacterium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardioidaceae_Nocardioides";"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus";"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Stenotrophomonas";"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae_Cupriavidus";"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Aliivibrio";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces";"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_XlVa";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Rothia";"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides";"Bacteria_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Actinobacillus";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter";"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus";"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter";"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium";"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto";"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Phenylobacterium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Corynebacteriaceae_Corynebacterium";"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardiaceae_Gordonia";"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter";"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas";"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Paracoccus";"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium";"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas";"Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus";"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Vibrio"
"GAIN_PreChallenge_CTRL1";0;0;0;0;3,94689554656608;0;0,182852783585439;0;0,0554962395404696;0;0;0;0,0703839296992925;0;0;0;0;3,04200903703996;0;0;0;1,01403515922225;0;0;0,167327095372342;0;0;0;0;0;0;0;0;7,8008936770132;6,18215080327013;0,537085767677596;0;0;0,588715589351891;0;0;8,08664089318556;0;0;13,08283532794
"GAIN_PreChallenge_CTRL2";0;0;0;0;0;0;4,64917317330948;0;0;0;0;0;5,22668746964242;0;4,01476666109838;0,161898326733272;0;3,15286511099808;0;0;0;0,660450948658058;0;0;0;0,309717889236517;0;0,41082808678618;6,15626729996895;0;0;0;0;11,4929453294666;0;0;0;0;0;0,899727218641565;0;9,74602673207452;2,08949761240138;0;7,92340422743166
"GAIN_PreChallenge_CTRL3";0;0,415656757249833;0;0,642311978379095;1,71942381430716;0;0,291404098226348;0;0,455728175728111;6,6819031876653;0;0,901380354779077;0;0,126949638126159;1,0533337981278;6,29705127994437;0;0;0,503445000572188;6,7304723880756;0;0;0,57772053286434;0;0,930424275503504;0;0;3,28595175088317;8,53988635446209;0,468737774704401;1,3897615732188;1,03598848709893;0;1,80714757241605;4,98290474799491;6,57970292205862;0,797011002150564;0;1,30927353874246;1,34604729440008;0;4,61104422327483;8,88399114054129;5,51634162652342;2,79236609970937
"GAIN_PreChallenge_CTRL4";0,0490511124111876;0,149431899695777;0;0;0,0939470350794941;0;0,299469550504949;0;0,508032496198456;0,128687944314433;5,68353986878152;0,696431157568384;0,410500444026908;0,912319634605294;0;0;0;0,243329567034818;0,262492498489381;0,928193141598598;0;0;7,47792014058346;0;2,55202041155854;0;0,713655019465458;1,31479352341917;0,552153584841848;1,45660643807591;1,63846418232248;5,70770906118597;1,03821828751654;2,24176434978177;9,58322610257239;0,974449821747225;0;0;3,77920824436841;3,78466983362887;1,11795396380179;4,56779747322736;9,49368877241644;8,62898805577301;9,60056601566748
"GAIN_PreChallenge_CTRL5";0;0,454554493634408;0,357862682159149;0;1,72768567036477;0;0,283715864562611;0;0,751255908219489;0;0;6,55098626278807;0;0,300121962638579;0,315839270182873;0;0;0;0,248450478458889;0,454262716680931;0;0;0,515231997477533;0;0;0;1,08420134714473;1,4349237126491;1,76598698948368;0,572754867137784;2,25893631822351;1,20908493785079;2,06127976799081;1,83545510968995;2,57159423466758;1,97412010852126;0;0;2,07829887614178;3,05453773202605;0;9,75180325798483;4,50177648910754;10,3343449825487;9,94430726629213
"GAIN_PreChallenge_CTRL6";0;0,189081208933218;0;5,77993260483979;1,93675195466114;0;0;6,50220768106195;0,76075823645992;0;0;1,03154520150591;0,310533018010125;1,3879688999397;0,822492053939953;0;0;0;0,677566949309315;0,505962180181782;1,09326220535039;0;3,50925660100814;0;0;0;0,444927376703381;8,16000500139243;0,950203456431705;0,634198103054133;1,30233233335073;1,30617197142235;0,683881334243824;1,95069934518041;8,65051401203425;2,59730039828468;0;1,57179889610673;2,39867629249829;10,3248796053085;2,2886359522533;5,10294740340934;2,8916458075417;10,1621611339244;4,05551419565502
"GAIN_PreChallenge_CTRL7";0,0478775908932092;0,224391226683434;0,0618617699616855;0,246126695338273;0;0;0;0;1,3789343795039;0,728399337800682;0;1,52613420710884;0;0;1,1380875393855;0,37814277525514;0,207583976486524;0;0,630439735880825;0,468113825760142;0;0;1,23814796566944;0,321108767762587;0;0;0,701076743937268;1,60660589471945;1,79716583275386;1,76062849289574;8,44293554729324;2,44878279485316;1,2999812442167;3,29505496916657;4,27088393663053;9,41950994120127;0;0;3,04258402352418;1,06732558313349;0;6,07974638888222;4,27640382595502;12,3483154618467;4,13823223167369
"GAIN_PreChallenge_CTRL8";0;0;0;0,103498009191964;0;0;0;0,255372738755412;0,264527409923243;0,273147400829631;0;0,324749911426049;0;0,193093110166873;0,94859066068494;0,238518256894742;0;0;0,295091935895272;0,30003440404518;0;0;0,343701589023697;0;1,47769947302757;8,07178676408867;0;0,939021804827353;4,98906618591747;1,56104242823946;8,65280155701121;2,15502656286049;0;2,36245652658948;9,3953150573272;4,11688479430866;0;0;1,14008522769711;0;0;5,71767620062069;3,51332233640177;11,0071147344124;11,2465667538379
"GAIN_PreChallenge_CTRL9";0,0259177322690112;0,473789467463984;0,343582308952322;0,181660928477652;0;0,466249197059374;0,114724255065432;0;0,677069722983708;0,764356571853109;0;0,876250496351369;0;0,17777526306999;0,70912931494454;0,219976916118599;0;0,765947878224228;1,16150712392745;0,494225620671092;0;5,92867654019744;0;0;0;0;0,434318369121393;0,884861401305636;0,570873498298318;0,620301746274709;2,26839944070168;1,00866552412578;1,06657875492256;3,13380398201362;10,3056887754845;8,02492721444728;0;0;2,1715187068161;0;0;4,85657877042011;3,42559458875546;11,5184350538502;4,84898690911652
"GAIN_PreChallenge_NOPAP1";0,0587439238761139;0,14425247790905;0;0,0737211537303909;0,146745450406365;0;0,246956687656096;0;0,670936327907208;5,65848343413088;0;1,61700540052508;0,518033747958998;0;5,43867120864575;0,17310569274879;0;0;7,90055066837108;0,219535988217147;0;1,2571926849307;3,65579377729114;0;0,291971947886953;0;0,607352504540084;0;2,83115845077166;1,29218328269364;2,11870110777341;0,512224702267353;0;2,81804003871884;7,77102097389046;8,24892966961792;0;1,34663206776889;2,13556129828143;4,74955141186631;1,45937917064475;9,13739111290498;3,59828565207459;10,1971222892482;9,81748658053041
